ZIP,Mean_Income,Estimated PV System Size (kWdc),PV System Size (kWac),Estimated Annual PV Energy Production (kWh)
10462,73154,3576.03,2876.57,4197693
10463,93350,1195.09,1013.33,1402843
10464,129329,701.07,598.4,822824
10465,99423,3381.69,2889.09,3969176
10466,81664,4919.54,4198.71,5774378
10467,58443,2254.64,1911.35,2646455
10468,52985,1798.41,1517.45,2111032
10469,88234,6537.01,5563.62,7673034
10470,95435,756.86,645.71,888439
10471,139523,1783.25,1510.6,2093221
10472,55264,2427.33,2056.71,2849248
10473,69479,3480.29,2967.72,4085060
10474,50210,8836.89,6670.95,10373077
10475,68354,466.15,395.64,547170
10501,215901,123.85,105.86,145380
10502,248595,2231.1,1779.78,2618961
10504,356077,4006.95,3063.71,4703510
10505,163572,452.92,381.91,531667
10506,340035,858.25,730.03,1007456
10507,190358,312.21,265.6,366489
10509,137997,2431.17,2066.51,2853829
10510,285782,3314.09,2816.05,3890205
10511,153340,3645.32,2784.75,4279022
10512,128522,4018.54,3406.35,4717091
10514,328018,1868.63,1597.1,2193420
10516,162188,1323.57,1127.12,1553597
10517,112699,188.56,161.15,221320
10518,218588,88.05,74.4,103354
10520,166540,4942.76,4199.11,5801855
10522,187547,1688.29,1440.21,1981727
10523,136225,12161.95,10003.19,14276090
10524,145457,1128.63,962.95,1324835
10526,288442,99.13,84.74,116374
10527,188053,49.35,42.18,57923
10528,222757,1532.37,1299.29,1798738
10530,154355,4145.23,3241.9,4865810
10532,164163,2728.54,2304.92,3202849
10533,278724,833.82,712.18,978788
10535,139143,41.3,35.3,48480
10536,260248,971.97,829.88,1140899
10537,122813,129.42,110.61,151914
10538,317837,1935.39,1644.81,2271767
10541,139672,3021.74,2572.05,3547044
10543,194736,2435.03,2076.56,2858329
10546,233390,210.05,179.54,246576
10547,143597,2789.78,2366.34,3274761
10548,130470,2080.84,1760.5,2442588
10549,170146,8119.94,6395.68,9531483
10550,67441,2180.61,1841.41,2559700
10552,113484,510.52,436.34,599267
10553,104864,510.7,433.07,599464
10560,191470,613.22,520.8,719807
10562,130996,8139.09,6807.83,9553821
10566,94864,6284.85,5155.14,7377192
10567,174989,10436.68,8219.28,12250996
10570,216411,3305.55,2697.27,3880093
10573,148578,4584.76,3897.88,5381578
10576,342719,632.55,540.66,742539
10577,378399,4346.84,3273.75,5102483
10578,215697,31.31,26.76,36752
10579,149261,1057.54,898.3,1241421
10580,370224,1478.94,1261.06,1736013
10583,357101,4232.83,3607.68,4968708
10588,147720,485.51,414.95,569870
10589,152331,512.9,434.32,602049
10590,206169,602.15,514.68,706836
10591,155548,5146.46,4231.92,6041020
10594,184261,1140.43,969.74,1338659
10595,145339,3257.43,2755.11,3823653
10596,88858,513.74,438.62,603073
10597,329534,72.66,62.1,85288
10598,166549,6369.13,5267.09,7476365
10601,121412,3400.99,2759.19,3992218
10603,139317,3113.23,2649.4,3654364
10604,175911,3899.04,3041.04,4576819
10605,179546,9055.5,7140.54,10629620
10606,153365,1276.42,1090.15,1498335
10607,177567,2023.78,1728.31,2375567
10701,82877,8668.69,7164.85,10175526
